"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"119"," Gabon","21.2","","19.5","","19.5","","24.1","","24.0","","23.8","","22.3","","22.3","","22.5","","22.6",""
"172"," Gambia","39.0","","..","","..","","..","","..","","..","","37.3","","37.1","","37.2","","32.5",""
"61"," Georgia","17.0","","14.0","","15.3","","14.6","","13.7","","12.7","","12.0","","12.6","","12.1","","11.8",""
"6"," Germany","8.0","","7.0","","6.9","","7.2","","6.9","","7.1","","8.6","","8.1","","8.4","","8.2",""
"138"," Ghana","25.3","","32.2","","32.2","","31.4","","33.2","","32.5","","28.9","","28.9","","28.2","","28.0",""
"32"," Greece","10.2","","12.2","","11.6","","10.7","","12.3","","12.4","","13.2","","13.4","","12.1","","10.9",""
"127"," Guatemala","33.7","","31.7","","33.2","","32.9","","29.3","","29.6","","28.8","","28.2","","27.4","","27.5",""
"178"," Guinea","38.5","","38.9","","38.7","","38.0","","36.5","","34.8","","33.5","","33.3","","33.4","","34.4",""
"175"," Guinea-Bissau","42.4","","41.3","","41.5","","39.6","","39.7","","39.4","","39.5","","39.4","","37.5","","37.5",""
"122"," Guyana","18.6","","22.2","","19.0","","18.3","","18.3","","18.8","","18.8","","18.6","","18.5","","18.5",""
"170"," Haiti","40.8","","40.2","","40.2","","39.4","","38.8","","39.5","","39.0","","39.0","","40.4","","40.6",""
"132"," Honduras","30.7","","31.6","","27.6","","32.3","","32.0","","29.1","","26.2","","25.6","","25.6","","25.6",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","13.3","","13.2","","13.2",""
"40"," Hungary","8.7","","7.1","","7.5","","7.4","","7.2","","7.7","","7.9","","7.9","","8.0","","7.4",""
"4"," Iceland","6.6","","6.0","","6.3","","5.8","","5.9","","5.8","","6.1","","6.2","","5.7","","5.8",""
"131"," India","29.7","","28.2","","29.3","","28.5","","28.6","","27.1","","27.8","","26.9","","26.3","","26.4",""
"107"," Indonesia","17.7","","18.3","","18.4","","19.2","","18.3","","18.1","","17.6","","18.8","","17.4","","17.8",""
"70"," Iran (Islamic Republic of)","..","","..","","..","","33.6","","33.6","","33.1","","..","","11.4","","11.5","","11.5",""
"123"," Iraq","..","","..","","..","","21.5","","21.7","","22.3","","21.3","","20.4","","19.8","","19.7",""
"2"," Ireland","9.1","","7.2","","7.3","","7.5","","8.6","","7.9","","8.9","","9.0","","7.5","","7.3",""
"19"," Israel","12.5","","12.2","","12.2","","10.7","","13.3","","13.4","","13.4","","12.8","","10.7","","11.4",""
"29"," Italy","12.1","","10.9","","11.9","","11.9","","11.6","","11.6","","12.7","","12.3","","12.1","","12.2",""
"101"," Jamaica","16.7","","16.1","","19.2","","19.1","","17.6","","16.6","","17.0","","17.0","","16.8","","16.6",""
"19"," Japan","..","","..","","..","","12.4","","12.4","","12.4","","12.3","","..","","3.6","","8.3",""
"102"," Jordan","19.3","","18.9","","18.9","","18.7","","16.5","","16.6","","16.2","","16.1","","14.7","","14.7",""
